ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
LOW;2022;12105000000;84157000000;12,04;8442000000;19963000000;12093000000;94719000000;18301000000;32056000000;64194000000;96250000000;897000000
GILD;2022;6749000000;16307000000;3,64;4592000000;10650000000;10974000000;27281000000;5673000000;21624000000;5657000000;27281000000;935000000
CVS;2022;8123000000;306177000000;3,26;4311000000;38212000000;16290000000;322467000000;NULL;54502000000;267965000000;322467000000;2287000000
SBUX;2022;4714800000;27820600000;2,83;3281600000;3941400000;4429700000;30231600000;2032000000;8371100000;23879200000;32250300000;482900000
INTU;2022;2623000000;10167000000;7,28;2066000000;7761000000;2559000000;12726000000;4998000000;10320000000;2406000000;12726000000;81000000
NOW;2022;426000000;6890000000;1,6;325000000;5317000000;355000000;7245000000;3549000000;5672000000;1573000000;7245000000;27000000
PLD;2022;3982713000;3693290000;4,25;3364856000;2184196000;2280402000;5973692000;331083000;4464598000;1509094000;5973692000;291903000
AXP;2022;NULL;NULL;9,85;7514000000;NULL;NULL;52560000000;12710000000;NULL;NULL;52560000000;2763000000
MO;2022;8517000000;8769000000;3,19;5764000000;2327000000;11919000000;25096000000;2327000000;14246000000;6442000000;20688000000;1128000000
BKNG;2022;4314000000;11988000000;76,35;3058000000;11988000000;5102000000;17090000000;11210000000;NULL;NULL;17090000000;391000000
T;2022;3014000000;97830000000;-1,13;-8524000000;46982000000;22911000000;120741000000;28961000000;69893000000;50848000000;120741000000;6108000000
ISRG;2022;1577100000;4645100000;3,65;1322300000;2618900000;1577100000;6222200000;1739900000;4196000000;2026200000;6222200000;NULL
MMC;2022;4551000000;16440000000;6,04;3050000000;4369000000;4280000000;20720000000;NULL;8649000000;12071000000;20720000000;469000000
EL;2022;3203000000;14193000000;6,55;2390000000;9888000000;3544000000;17737000000;9888000000;13432000000;4305000000;17737000000;167000000
LMT;2022;7303000000;57636000000;21,66;5732000000;-61000000;8348000000;65984000000;NULL;8287000000;57697000000;65984000000;623000000
SYK;2022;3042000000;15407000000;6,17;2358000000;8536000000;3042000000;18449000000;6455000000;11578000000;6871000000;18449000000;NULL
BA;2022;-2461000000;70117000000;-8,3;-4935000000;7039000000;-3509000000;66608000000;4187000000;3530000000;63078000000;66608000000;2561000000
ADP;2022;3886000000;12633400000;7;2948900000;3171500000;3864900000;16498300000;3171500000;7036400000;9461900000;16498300000;81900000
MDLZ;2022;3656000000;27700000000;1,96;2717000000;7516000000;3796000000;31496000000;7384000000;11312000000;20184000000;31496000000;428000000
ZTS;2022;2877000000;5152000000;4,49;2114000000;2698000000;2928000000;8080000000;2009000000;5626000000;2454000000;8080000000;221000000
GE;2022;678000000;57823000000;0,05;339000000;13551000000;276000000;58099000000;11765000000;13827000000;44272000000;58099000000;1477000000
AMT;2022;2857200000;7674500000;3,82;1765800000;4410700000;3036600000;10711100000;972300000;7447300000;3263800000;10711100000;1136500000
TMUS;2022;6510000000;71464000000;2,06;2590000000;35258000000;8107000000;78453000000;21607000000;43365000000;36206000000;79571000000;3364000000
MU;2022;9760000000;21049000000;7,75;8687000000;4189000000;9709000000;30758000000;1066000000;13898000000;16860000000;30758000000;189000000
PYPL;2022;3670000000;23474000000;2,09;2419000000;9729000000;4044000000;27518000000;4356000000;13773000000;13745000000;27518000000;304000000
C;2022;NULL;NULL;7;14845000000;NULL;NULL;75305000000;28305000000;NULL;NULL;75305000000;25740000000
CI;2022;9625000000;171634000000;21,299091;6704000000;NULL;NULL;180031000000;13174000000;NULL;NULL;180031000000;1228000000
CB;2022;7055000000;36570000000;12,55;5246000000;NULL;NULL;43055000000;3395000000;NULL;NULL;43055000000;570000000
APD;2022;2882700000;10286100000;10,14;2256100000;947600000;2412500000;12698600000;900600000;3360100000;9338500000;12698600000;128000000
F;2022;-1734000000;151781000000;-0,49;-1981000000;10888000000;6276000000;158057000000;10888000000;17164000000;140893000000;158057000000;1282000000
MRNA;2022;9604000000;9455000000;20,12;8362000000;4039000000;9420000000;18435000000;1132000000;13459000000;5416000000;18875000000;29000000
EQIX;2022;1185706000;6036762000;7,67;704345000;2285261000;1226343000;7263105000;2285261000;3511604000;3751501000;7263105000;356337000
ICE;2022;2424000000;5905000000;2,58;1446000000;1471000000;3731000000;9636000000;440000000;5202000000;4434000000;9636000000;616000000
GM;2022;12584000000;146421000000;6,13;9934000000;10667000000;10314000000;156735000000;10667000000;20981000000;135754000000;156735000000;987000000
EW;2022;1786600000;3593200000;2,44;1521900000;2512800000;1789200000;5382400000;1567600000;4302000000;1080400000;5382400000;19200000
DUK;2022;6517000000;22344000000;3,33;2550000000;6552000000;6424000000;28768000000;NULL;12976000000;15792000000;28768000000;2439000000
SO;2022;6245000000;23658000000;3,26;3535000000;5257000000;5621000000;28547000000;NULL;10878000000;18401000000;29279000000;2022000000
REGN;2022;4918200000;7178900000;38,22;4338400000;5618500000;4994000000;11807800000;2115900000;10612500000;1560400000;12172900000;59400000
PGR;2022;1165600000;48664300000;1,18;721500000;NULL;NULL;49586400000;NULL;NULL;NULL;49586400000;243500000
HUM;2022;3969000000;89302000000;22,08;2806000000;NULL;NULL;92870000000;NULL;NULL;NULL;92870000000;401000000
